,client_time,step,battery_low,is_charge,tag_battery_low,tag_0,tag_1,tag_2,tag_3,tag_4,tag_5,tag_6,tag_7,tag_8,tag_9,tag_10,tag_11,tag_12
70715,2020-09-22 14:29:58,8,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
70720,2020-09-22 14:30:13,17,23,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
70725,2020-09-22 14:32:11,25,22,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
70726,2020-09-22 14:34:14,32,22,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
70731,2020-09-22 14:36:58,39,22,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
70735,2020-09-22 14:39:37,46,23,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
70756,2020-09-22 14:46:53,53,32,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
70788,2020-09-22 15:09:49,125,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
70793,2020-09-22 15:10:13,136,29,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
70797,2020-09-22 15:11:37,160,28,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
70807,2020-09-22 15:18:11,291,28,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
70808,2020-09-22 15:18:50,308,28,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
70809,2020-09-22 15:18:59,329,28,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
70810,2020-09-22 15:19:21,370,28,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
70819,2020-09-22 15:20:15,478,28,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
70845,2020-09-22 15:40:15,1516,26,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
70864,2020-09-22 16:00:15,1618,28,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
70873,2020-09-22 16:05:02,1688,27,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
70905,2020-09-22 16:28:58,2070,27,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
70920,2020-09-22 16:40:14,2625,27,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
70930,2020-09-22 16:50:16,3215,26,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
70937,2020-09-22 17:00:14,3277,27,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
70940,2020-09-22 17:04:27,3520,26,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
70949,2020-09-22 17:10:19,3764,26,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
70954,2020-09-22 17:18:01,4641,26,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
70955,2020-09-22 17:18:41,4648,26,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
70956,2020-09-22 17:19:50,4693,27,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
71692,2020-09-23 10:32:17,10,34,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
71969,2020-09-23 12:00:16,33,92,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
72043,2020-09-23 12:30:18,47,88,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
72092,2020-09-23 12:50:13,278,88,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
