,client_time,step,battery_low,is_charge,tag_battery_low,tag_0,tag_1,tag_2,tag_3,tag_4,tag_5,tag_6,tag_7,tag_8,tag_9,tag_10,tag_11,tag_12
14184,2020-08-04 17:42:01,5156,16,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
14241,2020-08-04 18:59:59,5174,16,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
14256,2020-08-04 19:45:39,5183,13,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
14264,2020-08-04 20:02:26,5197,22,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
14313,2020-08-04 21:39:59,5204,64,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
14346,2020-08-04 23:59:57,5211,57,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
14347,2020-08-05 00:15:51,8,56,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
14350,2020-08-05 00:40:01,16,57,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
14384,2020-08-05 06:20:06,24,47,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
14407,2020-08-05 08:10:06,1334,43,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
14455,2020-08-05 09:24:00,2070,40,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
14463,2020-08-05 09:39:59,2080,53,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
14492,2020-08-05 10:19:58,2087,82,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
14525,2020-08-05 10:59:59,2111,80,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
14530,2020-08-05 11:03:13,2127,79,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
14535,2020-08-05 11:08:02,2159,80,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
14536,2020-08-05 11:08:12,2167,79,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
14537,2020-08-05 11:08:22,2178,80,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
14538,2020-08-05 11:08:32,2193,79,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
14539,2020-08-05 11:08:42,2211,80,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
14540,2020-08-05 11:08:51,2229,79,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
14541,2020-08-05 11:09:58,2325,79,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
14542,2020-08-05 11:17:18,2554,79,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
14543,2020-08-05 11:18:28,2574,79,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
14544,2020-08-05 11:18:46,2609,79,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
14546,2020-08-05 11:19:36,2638,79,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
14549,2020-08-05 11:20:25,2648,79,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
14551,2020-08-05 11:20:35,2664,79,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
14552,2020-08-05 11:22:42,2790,79,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
14553,2020-08-05 11:22:52,2807,78,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
14554,2020-08-05 11:23:02,2813,79,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
14555,2020-08-05 11:23:12,2823,79,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
14557,2020-08-05 11:30:08,2847,78,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
14567,2020-08-05 11:40:05,2870,78,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
14590,2020-08-05 12:17:29,2901,76,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
14591,2020-08-05 12:17:39,2913,76,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
14592,2020-08-05 12:17:49,2929,76,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
14593,2020-08-05 12:17:59,2944,77,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
14594,2020-08-05 12:18:08,2960,77,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
14596,2020-08-05 12:20:12,3110,77,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
14602,2020-08-05 12:30:06,3495,75,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
14606,2020-08-05 12:31:52,3537,76,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
14607,2020-08-05 12:32:02,3550,77,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
14709,2020-08-05 14:24:31,3584,72,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
14710,2020-08-05 14:24:41,3591,71,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
14711,2020-08-05 14:24:51,3599,72,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
14712,2020-08-05 14:25:01,3614,72,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
14717,2020-08-05 14:30:05,3940,72,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
14724,2020-08-05 14:40:08,4177,71,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
14730,2020-08-05 14:42:30,4184,71,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
14734,2020-08-05 14:50:07,4329,71,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
14887,2020-08-05 18:33:45,4957,64,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
14929,2020-08-05 21:27:43,4964,99,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
14943,2020-08-05 22:30:05,4973,95,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
14973,2020-08-06 05:50:16,929,80,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
14975,2020-08-06 06:00:10,968,78,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
14979,2020-08-06 06:30:05,975,77,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
14986,2020-08-06 07:04:18,1709,76,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
15015,2020-08-06 08:39:25,4472,73,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
15024,2020-08-06 09:13:39,4511,71,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
15080,2020-08-06 10:46:48,4518,69,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
15150,2020-08-06 12:12:39,5849,66,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
15151,2020-08-06 12:17:39,5875,66,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
15156,2020-08-06 12:20:03,5905,66,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
15181,2020-08-06 12:50:04,6062,65,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
15189,2020-08-06 12:56:12,6099,64,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
15241,2020-08-06 14:20:03,6112,61,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
15277,2020-08-06 15:00:07,6493,59,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
15309,2020-08-06 15:30:10,6967,59,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
15325,2020-08-06 15:40:09,6991,58,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
15387,2020-08-06 16:40:08,7003,56,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
15465,2020-08-06 17:58:58,7036,54,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
15524,2020-08-06 19:15:43,7360,64,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
15590,2020-08-06 21:20:07,7367,99,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
15620,2020-08-06 22:04:23,7397,99,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
15644,2020-08-07 03:20:16,71,86,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
15654,2020-08-07 05:53:17,320,81,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
15668,2020-08-07 07:27:25,336,99,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
15669,2020-08-07 07:27:44,353,99,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
15670,2020-08-07 07:27:54,371,99,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
15672,2020-08-07 07:28:04,387,99,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
15673,2020-08-07 07:28:14,406,99,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
15680,2020-08-07 07:30:08,597,99,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
15695,2020-08-07 07:36:24,656,99,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
15696,2020-08-07 07:38:51,663,99,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
15697,2020-08-07 07:40:05,671,99,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
15706,2020-08-07 07:50:10,1095,99,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
15729,2020-08-07 09:20:06,1189,98,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
15731,2020-08-07 09:24:58,1311,97,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
15734,2020-08-07 09:31:01,1318,97,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
15735,2020-08-07 09:32:49,1423,98,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
15736,2020-08-07 09:32:59,1437,97,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
