,client_time,step,battery_low,is_charge,tag_battery_low,tag_0,tag_1,tag_2,tag_3,tag_4,tag_5,tag_6,tag_7,tag_8,tag_9,tag_10,tag_11,tag_12
15876,2020-08-07 12:18:24,12,45,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
15879,2020-08-07 12:20:04,20,45,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
15882,2020-08-07 12:21:21,47,45,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
19979,2020-08-12 12:05:36,50,24,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
19980,2020-08-12 12:05:58,60,25,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
19993,2020-08-12 12:10:07,70,24,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
37388,2020-08-26 16:43:48,249,22,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
37403,2020-08-26 16:54:03,267,23,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
152696,2020-10-29 12:30:09,19,15,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
152708,2020-10-29 12:37:45,28,15,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
152709,2020-10-29 12:38:25,39,14,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
152719,2020-10-29 12:41:48,53,14,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
152720,2020-10-29 12:41:52,60,13,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
