,client_time,step,battery_low,is_charge,tag_battery_low,tag_0,tag_1,tag_2,tag_3,tag_4,tag_5,tag_6,tag_7,tag_8,tag_9,tag_10,tag_11,tag_12
69385,2020-09-21 14:04:27,97,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
69441,2020-09-21 14:40:11,105,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
69453,2020-09-21 14:44:36,123,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
69540,2020-09-21 15:15:22,151,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
69546,2020-09-21 15:19:48,68,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
69548,2020-09-21 15:19:59,75,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
69550,2020-09-21 15:20:07,82,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
69552,2020-09-21 15:20:08,84,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
69556,2020-09-21 15:20:12,87,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
69559,2020-09-21 15:20:33,96,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
69560,2020-09-21 15:20:38,102,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
69561,2020-09-21 15:20:39,104,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
71649,2020-09-23 10:19:20,1373,27,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
71677,2020-09-23 10:25:45,1391,26,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
71689,2020-09-23 10:30:10,1413,27,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
71698,2020-09-23 10:34:30,1420,27,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
71701,2020-09-23 10:35:22,1429,27,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
71706,2020-09-23 10:36:25,1437,28,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
71707,2020-09-23 10:36:56,1454,27,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
71712,2020-09-23 10:37:44,1464,27,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
71715,2020-09-23 10:39:07,1474,26,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
71717,2020-09-23 10:39:28,1484,26,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
71754,2020-09-23 10:50:16,1538,27,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
71821,2020-09-23 11:12:28,2076,27,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
71862,2020-09-23 11:20:12,2174,26,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
71898,2020-09-23 11:34:35,2182,26,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
71903,2020-09-23 11:37:55,2211,26,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
71904,2020-09-23 11:39:43,2229,26,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
71905,2020-09-23 11:39:53,2244,26,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
71907,2020-09-23 11:40:01,2255,27,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
71914,2020-09-23 11:40:08,2263,27,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
71918,2020-09-23 11:40:12,2268,27,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
71952,2020-09-23 11:50:10,2568,27,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
71971,2020-09-23 12:00:14,2724,27,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
72004,2020-09-23 12:10:11,2777,27,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
72022,2020-09-23 12:20:16,3324,26,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
72039,2020-09-23 12:30:09,4085,26,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
72073,2020-09-23 12:40:13,4394,26,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
72094,2020-09-23 12:50:10,4546,27,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
72113,2020-09-23 13:00:11,4613,26,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
72135,2020-09-23 13:10:12,4675,26,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
72161,2020-09-23 13:20:11,4682,26,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
72180,2020-09-23 13:30:18,4692,26,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
72202,2020-09-23 13:40:13,4740,27,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
72219,2020-09-23 13:50:10,4798,26,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
72234,2020-09-23 14:00:09,4855,25,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
72254,2020-09-23 14:10:10,4864,27,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
72275,2020-09-23 14:20:09,4890,26,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
72298,2020-09-23 14:30:15,4897,26,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
72309,2020-09-23 14:40:15,5127,25,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
72325,2020-09-23 14:50:14,5693,25,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
72347,2020-09-23 15:00:11,6082,25,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
72373,2020-09-23 15:10:12,6207,25,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
72393,2020-09-23 15:20:12,6850,24,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
72413,2020-09-23 15:28:02,7224,25,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
72416,2020-09-23 15:28:22,7238,24,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
72417,2020-09-23 15:28:32,7248,24,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
72418,2020-09-23 15:28:42,7252,25,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
72420,2020-09-23 15:29:21,7272,24,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
72427,2020-09-23 15:29:41,7281,25,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
72428,2020-09-23 15:29:51,7289,25,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
72454,2020-09-23 15:35:27,7381,25,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
72455,2020-09-23 15:35:45,7410,25,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
72456,2020-09-23 15:35:55,7427,25,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
72459,2020-09-23 15:36:25,7477,24,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
72460,2020-09-23 15:36:34,7488,26,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
72462,2020-09-23 15:36:44,7503,24,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
72463,2020-09-23 15:37:04,7513,25,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
72473,2020-09-23 15:40:12,7659,25,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
72495,2020-09-23 15:50:10,7713,25,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
72571,2020-09-23 16:20:13,7720,24,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
72581,2020-09-23 16:30:15,7724,25,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
72631,2020-09-23 17:00:16,7751,24,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
72716,2020-09-23 17:40:15,7767,22,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
72739,2020-09-23 17:59:53,7966,22,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
72743,2020-09-23 18:00:07,7973,22,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
72750,2020-09-23 18:00:12,7975,22,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
72751,2020-09-23 18:00:55,7998,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
72787,2020-09-23 18:12:10,8348,21,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
72792,2020-09-23 18:16:07,8419,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
72804,2020-09-23 18:20:13,8593,22,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
72811,2020-09-23 18:25:05,8774,21,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
72812,2020-09-23 18:26:56,8808,21,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
72834,2020-09-23 18:37:17,8828,21,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
72842,2020-09-23 18:42:39,8845,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
72843,2020-09-23 18:44:02,8856,22,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
72909,2020-09-23 19:40:12,8929,21,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
72913,2020-09-23 19:45:50,9194,21,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
72914,2020-09-23 19:46:12,9208,20,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
72922,2020-09-23 19:50:16,9228,21,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
72989,2020-09-23 21:00:10,9236,18,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
73026,2020-09-23 21:34:56,9244,18,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
73052,2020-09-23 22:07:50,9291,16,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
73092,2020-09-23 23:10:15,9299,16,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
73100,2020-09-23 23:20:13,9333,16,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
73117,2020-09-24 00:10:13,45,33,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
73190,2020-09-24 06:20:08,98,98,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
73340,2020-09-24 08:21:04,7939,92,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
73350,2020-09-24 08:30:14,8051,93,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
73356,2020-09-24 08:31:34,8058,92,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
73358,2020-09-24 08:35:31,8097,92,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
73365,2020-09-24 08:40:13,8190,93,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
73370,2020-09-24 08:43:02,8289,92,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
73414,2020-09-24 09:10:14,8310,91,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
73419,2020-09-24 09:17:03,8318,91,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
73450,2020-09-24 09:30:13,8345,90,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
73476,2020-09-24 09:44:47,8687,89,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
73517,2020-09-24 10:00:13,8710,89,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
73524,2020-09-24 10:08:50,8815,88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
73537,2020-09-24 10:10:15,8826,89,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
73545,2020-09-24 10:11:58,8839,88,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
73557,2020-09-24 10:20:13,8923,88,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
73569,2020-09-24 10:28:09,8958,87,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
73680,2020-09-24 11:06:11,9013,85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
73770,2020-09-24 11:40:12,9155,85,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
73793,2020-09-24 11:50:13,9267,84,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
