,client_time,step,battery_low,is_charge,tag_battery_low,tag_0,tag_1,tag_2,tag_3,tag_4,tag_5,tag_6,tag_7,tag_8,tag_9,tag_10,tag_11,tag_12
122065,2020-10-15 11:51:44,10,24,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
122066,2020-10-15 11:52:13,22,21,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
122069,2020-10-15 11:53:19,29,19,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
122074,2020-10-15 11:54:53,36,19,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
122077,2020-10-15 11:56:53,45,18,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
122129,2020-10-15 12:13:32,59,16,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
122145,2020-10-15 12:20:04,66,34,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
124805,2020-10-16 14:11:13,100,50,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
124807,2020-10-16 14:11:22,119,49,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
124808,2020-10-16 14:11:32,133,50,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
124809,2020-10-16 14:11:42,144,49,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
124811,2020-10-16 14:11:52,159,50,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
124812,2020-10-16 14:12:30,214,50,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
124840,2020-10-16 14:22:20,778,49,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
124881,2020-10-16 14:33:16,1492,50,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
124910,2020-10-16 14:41:33,2086,48,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
124928,2020-10-16 14:50:06,2335,49,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
124940,2020-10-16 14:51:14,2415,48,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
124941,2020-10-16 14:51:37,2432,48,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
124970,2020-10-16 15:02:40,3142,49,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
124981,2020-10-16 15:10:06,3192,48,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
125001,2020-10-16 15:20:06,3251,48,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
125047,2020-10-16 15:31:30,3866,48,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
125054,2020-10-16 15:36:11,4190,47,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
125081,2020-10-16 15:52:03,5205,48,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
125094,2020-10-16 16:04:06,6109,47,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
125098,2020-10-16 16:07:57,6295,46,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
125100,2020-10-16 16:08:07,6309,47,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
125104,2020-10-16 16:10:06,6316,47,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
125236,2020-10-16 17:06:06,6341,46,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
125661,2020-10-16 19:57:30,6351,97,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
125662,2020-10-16 19:57:32,6352,97,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
125774,2020-10-16 22:00:07,6364,92,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
126043,2020-10-17 07:30:10,7,70,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
126363,2020-10-17 10:19:01,53,96,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
126364,2020-10-17 10:19:10,61,96,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
126365,2020-10-17 10:19:20,72,96,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
126366,2020-10-17 10:19:30,92,97,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
126367,2020-10-17 10:19:40,111,96,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
126395,2020-10-17 10:30:08,1123,96,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
126420,2020-10-17 10:39:10,1386,95,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
126437,2020-10-17 10:40:58,1393,96,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
126640,2020-10-17 11:41:21,2317,92,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
126641,2020-10-17 11:41:31,2327,92,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
