,client_time,step,battery_low,is_charge,tag_battery_low,tag_0,tag_1,tag_2,tag_3,tag_4,tag_5,tag_6,tag_7,tag_8,tag_9,tag_10,tag_11,tag_12
71177,2020-09-22 20:35:51,8,99,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
71317,2020-09-23 06:20:13,39,99,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
71372,2020-09-23 07:29:46,195,99,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
71380,2020-09-23 07:34:41,268,99,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
71381,2020-09-23 07:35:01,303,99,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
71382,2020-09-23 07:35:10,320,99,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
71383,2020-09-23 07:35:21,338,99,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
71392,2020-09-23 07:40:13,770,99,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
71393,2020-09-23 07:40:43,777,99,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
71394,2020-09-23 07:40:53,793,99,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
71400,2020-09-23 07:43:02,1014,99,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
71402,2020-09-23 07:43:22,1048,99,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
71403,2020-09-23 07:44:10,1110,99,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
71404,2020-09-23 07:44:47,1135,99,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
71405,2020-09-23 07:46:50,1358,99,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
71414,2020-09-23 07:50:13,1393,99,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
71417,2020-09-23 07:52:04,1564,99,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
71430,2020-09-23 08:00:13,1646,99,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
71444,2020-09-23 08:06:51,1776,99,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
71454,2020-09-23 08:10:13,1844,99,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
71466,2020-09-23 08:20:14,1953,99,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
71482,2020-09-23 08:30:14,2076,98,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
71494,2020-09-23 08:40:13,2263,98,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
71503,2020-09-23 08:50:14,2464,98,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
71518,2020-09-23 09:10:13,2545,98,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
71528,2020-09-23 09:20:11,2608,97,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
71544,2020-09-23 09:30:14,2670,96,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
71567,2020-09-23 09:40:13,2687,95,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
71570,2020-09-23 09:47:26,2751,95,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
71571,2020-09-23 09:48:32,2761,95,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
71610,2020-09-23 10:00:13,2774,95,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
71612,2020-09-23 10:02:00,2815,94,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
71632,2020-09-23 10:10:10,2850,95,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
71659,2020-09-23 10:20:12,2887,93,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
71729,2020-09-23 10:40:13,2904,93,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
71742,2020-09-23 10:48:41,2953,92,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
71760,2020-09-23 10:56:32,2960,92,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
71808,2020-09-23 11:10:11,3018,92,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
71860,2020-09-23 11:20:11,3083,91,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
71887,2020-09-23 11:30:11,3090,91,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
71919,2020-09-23 11:40:13,3106,91,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
71951,2020-09-23 11:50:11,3225,90,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
71970,2020-09-23 12:00:12,3643,91,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
71974,2020-09-23 12:01:03,3731,90,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
71976,2020-09-23 12:01:11,3746,89,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
71977,2020-09-23 12:01:13,3749,89,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
71979,2020-09-23 12:03:00,3919,90,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
71982,2020-09-23 12:03:44,3969,89,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
71984,2020-09-23 12:03:54,3983,89,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
71985,2020-09-23 12:04:04,3985,90,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
71988,2020-09-23 12:06:20,4189,90,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
71989,2020-09-23 12:06:30,4203,90,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
71991,2020-09-23 12:06:40,4217,90,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
71992,2020-09-23 12:06:50,4234,89,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
72021,2020-09-23 12:20:15,4965,90,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
72069,2020-09-23 12:40:10,5240,88,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
72081,2020-09-23 12:44:27,5557,88,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
72084,2020-09-23 12:47:37,5592,88,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
72136,2020-09-23 13:10:13,5601,99,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
72276,2020-09-23 14:20:11,5728,98,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
72284,2020-09-23 14:25:40,5745,98,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
72296,2020-09-23 14:30:13,5778,98,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
72791,2020-09-23 18:14:48,5821,88,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
