,client_time,step,battery_low,is_charge,tag_battery_low,tag_0,tag_1,tag_2,tag_3,tag_4,tag_5,tag_6,tag_7,tag_8,tag_9,tag_10,tag_11,tag_12
81669,2020-09-28 10:01:43,146,69,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
81670,2020-09-28 10:02:39,153,68,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
81672,2020-09-28 10:03:35,161,68,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
81674,2020-09-28 10:04:19,168,68,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
81675,2020-09-28 10:04:20,175,68,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
81676,2020-09-28 10:04:45,186,68,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
81679,2020-09-28 10:06:27,219,67,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
81684,2020-09-28 10:08:26,226,67,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
81685,2020-09-28 10:08:30,235,67,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
81686,2020-09-28 10:08:36,244,67,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
81701,2020-09-28 10:10:59,251,67,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
81702,2020-09-28 10:11:30,258,67,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
81706,2020-09-28 10:12:24,280,67,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
81715,2020-09-28 10:14:09,295,68,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
81778,2020-09-28 10:30:12,325,68,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
83175,2020-09-28 18:02:57,2105,54,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
83459,2020-09-28 20:07:20,2114,50,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
84512,2020-09-29 11:18:05,43,29,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
84532,2020-09-29 11:20:14,69,29,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
85013,2020-09-29 13:48:40,4623,28,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
85023,2020-09-29 13:50:14,4639,27,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
85045,2020-09-29 14:00:35,4650,28,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
85346,2020-09-29 15:30:13,4661,27,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
85700,2020-09-29 17:22:21,7339,26,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
85858,2020-09-29 18:43:39,7753,24,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
85948,2020-09-29 19:30:30,7760,23,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
86015,2020-09-29 20:16:05,7804,22,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
86719,2020-09-30 09:35:04,57,11,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
86798,2020-09-30 09:54:05,118,10,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
87434,2020-09-30 12:54:25,2781,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
87460,2020-09-30 13:00:15,2806,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
87500,2020-09-30 13:10:14,2862,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
87670,2020-09-30 13:50:12,2869,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
88352,2020-09-30 17:11:09,4329,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
88600,2020-09-30 18:40:44,4381,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
88778,2020-09-30 20:13:00,4438,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
88793,2020-09-30 20:20:14,4445,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
92316,2020-10-02 11:44:58,2372,30,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
92367,2020-10-02 12:00:47,2421,29,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
92565,2020-10-02 12:57:28,2546,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
92588,2020-10-02 13:03:06,2660,29,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
92674,2020-10-02 13:31:07,2676,41,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
93068,2020-10-02 15:53:41,5163,96,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
93323,2020-10-02 17:21:35,5358,90,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
93460,2020-10-02 18:10:30,5398,89,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
93780,2020-10-02 20:41:05,5633,83,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
94338,2020-10-03 10:00:12,33,55,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
95711,2020-10-03 18:23:16,3227,41,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
95727,2020-10-03 18:30:15,3235,41,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
