,client_time,step,battery_low,is_charge,tag_battery_low,tag_0,tag_1,tag_2,tag_3,tag_4,tag_5,tag_6,tag_7,tag_8,tag_9,tag_10,tag_11,tag_12
76614,2020-09-25 17:17:19,19,23,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
76616,2020-09-25 17:18:12,27,23,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
76635,2020-09-25 17:21:49,37,20,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
76637,2020-09-25 17:23:12,44,20,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
76981,2020-09-25 20:59:39,58,97,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
76982,2020-09-25 20:59:43,61,96,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
77674,2020-09-26 10:24:28,7,66,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
77684,2020-09-26 10:30:16,48,66,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
77700,2020-09-26 10:40:14,66,65,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
77763,2020-09-26 11:05:32,164,64,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
77773,2020-09-26 11:10:15,478,65,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
77776,2020-09-26 11:11:50,537,65,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
77779,2020-09-26 11:13:52,551,64,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
77796,2020-09-26 11:20:16,562,64,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
77819,2020-09-26 11:30:20,617,64,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
77833,2020-09-26 11:40:18,668,63,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
77851,2020-09-26 11:50:19,1026,63,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
77901,2020-09-26 12:20:19,1034,61,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
77906,2020-09-26 12:24:24,1041,62,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
77936,2020-09-26 12:40:20,1286,61,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
77938,2020-09-26 12:42:35,1312,61,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
77940,2020-09-26 12:44:07,1323,61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
77943,2020-09-26 12:48:24,1342,61,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
77972,2020-09-26 13:00:12,1357,61,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
78033,2020-09-26 13:20:10,1371,59,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
78041,2020-09-26 13:22:46,1443,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
78050,2020-09-26 13:28:52,1532,60,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
78058,2020-09-26 13:30:15,1560,60,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
78076,2020-09-26 13:40:16,1591,59,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
78098,2020-09-26 13:50:17,1607,60,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
78126,2020-09-26 14:00:14,1614,58,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
78315,2020-09-26 14:55:02,1659,56,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
78332,2020-09-26 15:00:14,1763,56,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
78338,2020-09-26 15:05:47,1784,56,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
78347,2020-09-26 15:10:11,2011,57,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
78378,2020-09-26 15:20:16,2347,57,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
78403,2020-09-26 15:30:12,2448,57,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
78419,2020-09-26 15:38:59,3021,56,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
78426,2020-09-26 15:40:15,3040,55,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
78454,2020-09-26 15:50:15,3181,55,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
78483,2020-09-26 16:00:16,3248,55,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
78487,2020-09-26 16:02:24,3266,54,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
78519,2020-09-26 16:20:13,3292,54,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
78531,2020-09-26 16:28:17,3393,53,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
78541,2020-09-26 16:30:14,3407,53,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
78548,2020-09-26 16:34:33,3437,53,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
78558,2020-09-26 16:40:10,3447,53,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
78565,2020-09-26 16:41:40,3501,52,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
78583,2020-09-26 16:50:16,3681,53,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
78605,2020-09-26 17:00:12,3727,53,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
78628,2020-09-26 17:06:37,3734,52,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
79721,2020-09-27 11:20:16,25,94,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
79734,2020-09-27 11:30:16,58,92,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
79755,2020-09-27 11:40:16,91,93,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
79777,2020-09-27 11:46:50,379,92,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
79778,2020-09-27 11:47:07,399,92,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
79779,2020-09-27 11:47:08,400,93,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
79792,2020-09-27 11:50:16,427,93,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
79808,2020-09-27 12:00:15,489,92,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
79820,2020-09-27 12:10:15,591,92,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
79824,2020-09-27 12:14:36,627,91,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
79845,2020-09-27 12:27:51,649,90,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
79898,2020-09-27 12:40:19,876,91,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
79903,2020-09-27 12:42:42,919,90,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
79920,2020-09-27 12:50:17,1011,91,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
79976,2020-09-27 13:20:14,1066,89,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
79992,2020-09-27 13:30:14,1092,88,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
80081,2020-09-27 14:12:39,1113,87,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
80092,2020-09-27 14:20:16,1136,86,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
80232,2020-09-27 15:30:19,1158,83,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
80246,2020-09-27 15:40:10,1211,84,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
80282,2020-09-27 15:54:27,1239,83,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
80307,2020-09-27 16:04:14,1246,83,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
80322,2020-09-27 16:10:16,1256,83,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
80346,2020-09-27 16:20:17,1281,83,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
80392,2020-09-27 16:50:17,1288,82,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
80412,2020-09-27 17:00:17,1527,81,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
80424,2020-09-27 17:10:15,1636,80,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
80447,2020-09-27 17:20:16,1723,81,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
80466,2020-09-27 17:30:15,1789,80,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
80478,2020-09-27 17:39:23,1880,79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
80513,2020-09-27 17:50:17,2235,79,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
80535,2020-09-27 18:00:15,2293,79,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
