,client_time,step,battery_low,is_charge,tag_battery_low,tag_0,tag_1,tag_2,tag_3,tag_4,tag_5,tag_6,tag_7,tag_8,tag_9,tag_10,tag_11,tag_12
13552,2020-07-30 11:35:26,169,24,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
13553,2020-07-30 11:36:09,183,24,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
13554,2020-07-30 11:36:31,193,24,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
13555,2020-07-30 11:36:32,195,24,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
13556,2020-07-30 11:36:33,197,23,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
13557,2020-07-30 11:36:34,199,24,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
13558,2020-07-30 11:36:35,201,24,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
13559,2020-07-30 11:36:41,210,25,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
13560,2020-07-30 11:36:42,213,24,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
13561,2020-07-30 11:36:43,215,24,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
13562,2020-07-30 11:36:45,220,24,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
13563,2020-07-30 11:36:53,226,23,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
13564,2020-07-30 11:37:22,245,23,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
13565,2020-07-30 11:37:38,259,24,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
13566,2020-07-30 11:37:48,270,25,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
13567,2020-07-30 11:38:08,278,23,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
13581,2020-07-30 13:40:03,434,22,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
13583,2020-07-30 14:00:03,458,22,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
13590,2020-07-30 15:29:30,468,19,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
13591,2020-07-30 15:32:31,475,19,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
13592,2020-07-30 15:33:20,527,19,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
13593,2020-07-30 15:40:05,620,19,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
16016,2020-08-07 15:03:10,65,47,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
16017,2020-08-07 15:03:31,81,46,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
16020,2020-08-07 15:05:09,92,46,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
16021,2020-08-07 15:05:21,102,46,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
16026,2020-08-07 15:10:11,109,47,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
16027,2020-08-07 15:11:06,118,47,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
16038,2020-08-07 15:20:10,130,46,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
16065,2020-08-07 15:40:03,143,44,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
16138,2020-08-07 17:00:01,284,45,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
16168,2020-08-07 17:20:03,291,44,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
16204,2020-08-07 18:02:55,1113,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
16257,2020-08-07 19:02:01,1255,41,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
16263,2020-08-07 19:10:05,1262,42,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
16299,2020-08-07 19:50:06,1281,40,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
16338,2020-08-07 20:40:04,1305,39,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
16347,2020-08-07 20:53:59,1312,38,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
16354,2020-08-07 21:00:05,1323,39,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
