,client_time,step,battery_low,is_charge,tag_battery_low,tag_0,tag_1,tag_2,tag_3,tag_4,tag_5,tag_6,tag_7,tag_8,tag_9,tag_10,tag_11,tag_12
26473,2020-08-17 10:56:14,7,29,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
26475,2020-08-17 10:56:51,14,28,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
26614,2020-08-17 12:43:11,56,99,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
26615,2020-08-17 12:43:21,72,99,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
26616,2020-08-17 12:43:41,95,99,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
26622,2020-08-17 12:50:06,170,99,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
26625,2020-08-17 12:51:12,178,99,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
26626,2020-08-17 12:52:41,186,99,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
26627,2020-08-17 12:53:30,194,99,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
26628,2020-08-17 12:56:16,214,99,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
26629,2020-08-17 12:57:35,223,99,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
26633,2020-08-17 13:00:06,243,99,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
26640,2020-08-17 13:03:53,252,99,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
26657,2020-08-17 13:20:06,263,99,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
26678,2020-08-17 13:40:12,342,97,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
26691,2020-08-17 14:00:05,371,96,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
26705,2020-08-17 14:10:06,380,96,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
26717,2020-08-17 14:20:06,400,96,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
26749,2020-08-17 14:48:21,407,93,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
26760,2020-08-17 15:00:06,414,93,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
26778,2020-08-17 15:20:07,432,92,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
26790,2020-08-17 15:30:07,447,92,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
26831,2020-08-17 16:10:07,456,90,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
26858,2020-08-17 16:50:07,463,89,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
26890,2020-08-17 17:13:37,554,88,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
26891,2020-08-17 17:17:24,562,88,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
26892,2020-08-17 17:20:01,576,87,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
26894,2020-08-17 17:20:31,587,87,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
26897,2020-08-17 17:25:15,649,86,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
26898,2020-08-17 17:25:35,656,87,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
26899,2020-08-17 17:25:44,658,87,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
26901,2020-08-17 17:26:58,720,86,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
26902,2020-08-17 17:29:30,734,86,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
26908,2020-08-17 17:31:19,742,86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
26910,2020-08-17 17:32:26,759,87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
26911,2020-08-17 17:33:57,775,87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
26912,2020-08-17 17:36:51,810,86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
26913,2020-08-17 17:37:15,818,86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
26914,2020-08-17 17:37:36,827,86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
26915,2020-08-17 17:38:55,859,85,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
26949,2020-08-17 18:10:07,1055,86,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
26982,2020-08-17 18:30:12,1074,84,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
26996,2020-08-17 18:42:17,1085,84,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
27042,2020-08-17 19:10:11,1093,83,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
27065,2020-08-17 19:30:11,1132,82,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
27069,2020-08-17 19:33:20,1161,82,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
27132,2020-08-17 20:58:44,1170,79,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
27146,2020-08-17 21:20:12,1182,78,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
27205,2020-08-18 00:40:12,8,71,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
27208,2020-08-18 00:50:11,19,71,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
27216,2020-08-18 02:00:11,28,67,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
27282,2020-08-18 07:10:05,37,92,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
27292,2020-08-18 07:20:06,107,92,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
27298,2020-08-18 07:25:26,119,91,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
27300,2020-08-18 07:29:32,134,90,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
27305,2020-08-18 07:31:21,218,90,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
27317,2020-08-18 07:40:05,225,91,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
27322,2020-08-18 07:43:03,269,89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
27323,2020-08-18 07:43:16,292,91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
27331,2020-08-18 07:50:06,566,89,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
27335,2020-08-18 07:52:49,635,89,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
27337,2020-08-18 07:58:18,666,89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
27338,2020-08-18 07:59:04,673,88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
27346,2020-08-18 08:00:06,692,89,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
27348,2020-08-18 08:00:47,723,89,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
27349,2020-08-18 08:00:59,742,89,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
27350,2020-08-18 08:01:06,759,89,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
27356,2020-08-18 08:08:08,821,89,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
27371,2020-08-18 08:17:17,838,88,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
27372,2020-08-18 08:17:27,851,89,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
27373,2020-08-18 08:18:26,858,88,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
27381,2020-08-18 08:20:43,872,88,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
27382,2020-08-18 08:20:53,882,88,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
27398,2020-08-18 08:30:06,1232,89,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
27407,2020-08-18 08:40:06,1617,89,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
27413,2020-08-18 08:50:05,2064,87,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
27420,2020-08-18 09:00:06,2563,87,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
27427,2020-08-18 09:10:06,3113,87,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
27440,2020-08-18 09:20:05,3502,85,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
