,client_time,step,battery_low,is_charge,tag_battery_low,tag_0,tag_1,tag_2,tag_3,tag_4,tag_5,tag_6,tag_7,tag_8,tag_9,tag_10,tag_11,tag_12
74602,2020-09-24 17:57:32,9,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
74744,2020-09-24 19:07:28,23,50,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
74833,2020-09-24 20:10:15,8,47,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
74838,2020-09-24 20:11:53,24,46,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
74839,2020-09-24 20:12:03,41,47,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
74840,2020-09-24 20:12:13,57,47,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
74841,2020-09-24 20:12:23,74,47,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
74842,2020-09-24 20:12:24,76,47,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
74848,2020-09-24 20:20:14,798,46,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
74855,2020-09-24 20:30:17,898,46,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
74861,2020-09-24 20:40:17,961,45,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
74870,2020-09-24 20:50:18,1638,45,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
74872,2020-09-24 20:52:57,1674,45,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
74873,2020-09-24 20:54:37,1681,45,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
74874,2020-09-24 21:00:07,1712,46,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
75153,2020-09-25 07:56:23,33,39,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
79396,2020-09-27 08:30:09,7,95,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
79406,2020-09-27 08:40:09,25,94,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
79432,2020-09-27 08:59:16,32,93,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
79437,2020-09-27 09:00:09,48,93,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
79605,2020-09-27 10:10:11,91,89,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
79756,2020-09-27 11:40:16,107,85,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
79995,2020-09-27 13:30:14,24,81,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
80212,2020-09-27 15:21:07,3138,76,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
81799,2020-09-28 10:40:09,20,64,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
81900,2020-09-28 11:02:01,42,62,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
81922,2020-09-28 11:10:09,52,63,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
82067,2020-09-28 11:50:10,61,61,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
82153,2020-09-28 12:13:04,77,60,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
82177,2020-09-28 12:20:10,158,60,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
82183,2020-09-28 12:20:47,169,60,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
82199,2020-09-28 12:30:10,180,59,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
82465,2020-09-28 14:00:11,45,56,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
82490,2020-09-28 14:08:56,54,55,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
82515,2020-09-28 14:15:17,104,54,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
82528,2020-09-28 14:20:10,111,55,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
82693,2020-09-28 15:20:12,125,53,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
82776,2020-09-28 15:58:08,132,51,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
83036,2020-09-28 17:30:08,1703,48,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
83053,2020-09-28 17:37:08,2004,48,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
83055,2020-09-28 17:37:18,2020,48,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
83056,2020-09-28 17:37:28,2035,48,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
83057,2020-09-28 17:37:38,2051,48,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
83060,2020-09-28 17:38:17,2113,48,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
83061,2020-09-28 17:38:27,2129,48,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
83062,2020-09-28 17:38:37,2143,47,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
83063,2020-09-28 17:38:47,2159,48,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
83064,2020-09-28 17:38:57,2175,47,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
83065,2020-09-28 17:39:07,2191,48,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
83066,2020-09-28 17:39:17,2206,47,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
83067,2020-09-28 17:39:26,2221,48,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
83068,2020-09-28 17:39:36,2236,47,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
83069,2020-09-28 17:39:46,2253,48,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
83072,2020-09-28 17:39:57,2270,47,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
83075,2020-09-28 17:40:06,2286,47,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
83085,2020-09-28 17:40:16,2294,47,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
83086,2020-09-28 17:40:26,2307,48,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
83094,2020-09-28 17:45:10,2699,48,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
83096,2020-09-28 17:45:20,2715,48,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
83098,2020-09-28 17:45:30,2726,47,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
83099,2020-09-28 17:45:40,2739,48,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
83102,2020-09-28 17:46:19,2802,48,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
83104,2020-09-28 17:46:29,2818,47,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
83105,2020-09-28 17:46:39,2832,48,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
83106,2020-09-28 17:46:49,2846,48,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
83107,2020-09-28 17:46:59,2863,48,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
83108,2020-09-28 17:47:09,2876,48,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
83109,2020-09-28 17:47:18,2887,47,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
83111,2020-09-28 17:47:28,2893,48,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
83113,2020-09-28 17:47:38,2908,47,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
