,client_time,step,battery_low,is_charge,tag_battery_low,tag_0,tag_1,tag_2,tag_3,tag_4,tag_5,tag_6,tag_7,tag_8,tag_9,tag_10,tag_11,tag_12
14681,2020-08-05 13:51:46,24,26,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
14682,2020-08-05 13:53:10,36,26,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
14683,2020-08-05 13:54:02,43,26,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
14690,2020-08-05 14:07:32,61,26,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
14691,2020-08-05 14:08:31,68,25,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
14701,2020-08-05 14:13:12,80,25,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
14718,2020-08-05 14:30:08,141,26,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
14722,2020-08-05 14:35:25,150,25,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
14723,2020-08-05 14:39:40,157,25,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
14726,2020-08-05 14:40:11,182,26,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
14727,2020-08-05 14:40:23,192,25,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
14728,2020-08-05 14:40:31,199,25,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
14729,2020-08-05 14:41:44,219,25,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
14731,2020-08-05 14:42:49,231,24,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
14738,2020-08-05 15:00:08,239,24,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
14766,2020-08-05 15:32:41,278,24,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
14770,2020-08-05 15:35:56,287,24,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
14779,2020-08-05 15:40:07,307,25,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
14817,2020-08-05 16:20:15,339,23,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
14825,2020-08-05 16:30:09,346,22,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
14851,2020-08-05 17:15:11,629,21,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
14865,2020-08-05 18:00:03,690,20,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
14872,2020-08-05 18:10:09,728,19,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
14880,2020-08-05 18:20:08,780,20,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
14893,2020-08-05 19:00:08,837,18,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
14894,2020-08-05 19:10:04,876,17,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
14958,2020-08-06 00:20:11,28,97,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
14963,2020-08-06 01:20:13,45,92,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
14965,2020-08-06 02:30:11,101,91,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
14966,2020-08-06 03:10:10,110,89,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
14968,2020-08-06 04:30:12,121,84,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
14969,2020-08-06 04:40:13,130,84,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
14974,2020-08-06 05:57:53,146,82,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
14976,2020-08-06 06:10:15,241,81,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
14997,2020-08-06 07:50:08,255,79,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
15001,2020-08-06 08:00:08,265,77,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
15011,2020-08-06 08:29:54,325,76,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
15023,2020-08-06 09:10:08,416,75,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
15027,2020-08-06 09:20:11,441,75,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
15035,2020-08-06 09:30:08,536,74,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
15047,2020-08-06 10:00:09,565,74,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
15049,2020-08-06 10:02:35,606,73,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
15060,2020-08-06 10:15:35,766,72,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
15061,2020-08-06 10:18:01,773,72,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
15067,2020-08-06 10:22:38,783,71,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
15072,2020-08-06 10:32:57,833,71,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
15076,2020-08-06 10:40:09,860,71,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
15079,2020-08-06 10:46:29,917,71,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
15088,2020-08-06 10:56:55,933,70,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
15093,2020-08-06 11:00:08,945,70,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
15111,2020-08-06 11:20:08,968,70,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
15134,2020-08-06 11:47:11,1021,69,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
15137,2020-08-06 11:52:19,1056,68,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
