,client_time,step,battery_low,is_charge,tag_battery_low,tag_0,tag_1,tag_2,tag_3,tag_4,tag_5,tag_6,tag_7,tag_8,tag_9,tag_10,tag_11,tag_12
14800,2020-08-05 16:04:55,8,22,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
14801,2020-08-05 16:07:10,22,18,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
14803,2020-08-05 16:08:08,30,18,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
20342,2020-08-12 15:38:14,7,94,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
20745,2020-08-12 22:07:53,29,76,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
20750,2020-08-12 22:10:07,40,75,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
20755,2020-08-12 22:20:09,48,74,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
21104,2020-08-13 09:58:44,31,49,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
21111,2020-08-13 10:00:06,42,50,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
21140,2020-08-13 10:10:04,65,49,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
21160,2020-08-13 10:20:07,72,48,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
21180,2020-08-13 10:30:07,95,48,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
21870,2020-08-13 17:28:28,102,33,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
21873,2020-08-13 17:30:06,143,35,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
21877,2020-08-13 17:37:43,257,34,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
21878,2020-08-13 17:38:35,274,33,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
21884,2020-08-13 17:40:08,314,34,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
21889,2020-08-13 17:48:22,444,34,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
21899,2020-08-13 17:50:06,459,34,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
21902,2020-08-13 17:52:03,512,34,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
21903,2020-08-13 17:52:20,522,34,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
21906,2020-08-13 17:53:45,625,33,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
21907,2020-08-13 17:54:16,641,34,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
21915,2020-08-13 18:00:05,796,34,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
21917,2020-08-13 18:01:35,803,33,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
21921,2020-08-13 18:05:41,826,33,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
21923,2020-08-13 18:06:46,839,33,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
21932,2020-08-13 18:10:11,897,33,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
21936,2020-08-13 18:20:06,939,33,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
21949,2020-08-13 18:27:08,946,34,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
21958,2020-08-13 18:30:38,962,33,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
21960,2020-08-13 18:33:03,987,33,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
21961,2020-08-13 18:34:32,1003,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
21966,2020-08-13 18:40:07,1108,32,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
21973,2020-08-13 18:43:10,1136,33,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
21980,2020-08-13 18:50:06,1168,33,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
21987,2020-08-13 18:57:25,1193,33,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
22004,2020-08-13 19:03:30,1223,33,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
22101,2020-08-13 20:27:25,1240,31,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
